survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
PDS 2020,Division,Islamabad ICT,Islamabad,NA,Education,Ever attended school (10+),% of population 10+,pct,1459031,1270168,87.06,1446
PDS 2020,Division,Khyber Pakhtunkhwa,Bannu,NA,Education,Ever attended school (10+),% of population 10+,pct,1817111,1034970,56.96,2624
PDS 2020,Division,Khyber Pakhtunkhwa,Dera Ismail Khan,NA,Education,Ever attended school (10+),% of population 10+,pct,1364596,552251,40.47,1910
PDS 2020,Division,Khyber Pakhtunkhwa,Hazara,NA,Education,Ever attended school (10+),% of population 10+,pct,3916776,2672663,68.24,5916
PDS 2020,Division,Khyber Pakhtunkhwa,Kohat,NA,Education,Ever attended school (10+),% of population 10+,pct,2374937,1521286,64.06,2975
PDS 2020,Division,Khyber Pakhtunkhwa,Malakand,NA,Education,Ever attended school (10+),% of population 10+,pct,6350509,3225332,50.79,7315
PDS 2020,Division,Khyber Pakhtunkhwa,Mardan,NA,Education,Ever attended school (10+),% of population 10+,pct,3429572,2228178,64.97,3317
PDS 2020,Division,Khyber Pakhtunkhwa,Peshawar,NA,Education,Ever attended school (10+),% of population 10+,pct,7616212,4177520,54.85,8672
PDS 2020,Division,Punjab,Bahawalpur,NA,Education,Ever attended school (10+),% of population 10+,pct,9574466,5547877,57.94,8576
PDS 2020,Division,Punjab,Dera Ghazi Khan,NA,Education,Ever attended school (10+),% of population 10+,pct,8171464,4572992,55.96,7614
PDS 2020,Division,Punjab,Faisalabad,NA,Education,Ever attended school (10+),% of population 10+,pct,11892660,8328435,70.03,10450
PDS 2020,Division,Punjab,Gujranwala,NA,Education,Ever attended school (10+),% of population 10+,pct,12950562,10177055,78.58,12785
PDS 2020,Division,Punjab,Lahore,NA,Education,Ever attended school (10+),% of population 10+,pct,14464565,11127347,76.93,12893
PDS 2020,Division,Punjab,Multan,NA,Education,Ever attended school (10+),% of population 10+,pct,9814067,6172955,62.9,8644
PDS 2020,Division,Punjab,Rawalpindi,NA,Education,Ever attended school (10+),% of population 10+,pct,8118295,6526407,80.39,8129
PDS 2020,Division,Punjab,Sahiwal,NA,Education,Ever attended school (10+),% of population 10+,pct,5802863,3693201,63.64,5707
PDS 2020,Division,Punjab,Sargodha,NA,Education,Ever attended school (10+),% of population 10+,pct,6692312,4386072,65.54,6396
PDS 2020,Division,Sindh,Hyderabad,NA,Education,Ever attended school (10+),% of population 10+,pct,7612324,3298904,43.34,8220
PDS 2020,Division,Sindh,Karachi,NA,Education,Ever attended school (10+),% of population 10+,pct,12123110,9049206,74.64,12110
PDS 2020,Division,Sindh,Larkana,NA,Education,Ever attended school (10+),% of population 10+,pct,6198990,2824722,45.57,5241
PDS 2020,Division,Sindh,Mirpur Khas,NA,Education,Ever attended school (10+),% of population 10+,pct,3212598,1187426,36.96,2492
PDS 2020,Division,Sindh,Shaheed Benazirabad,NA,Education,Ever attended school (10+),% of population 10+,pct,3590981,1870601,52.09,3338
PDS 2020,Division,Sindh,Sukkur,NA,Education,Ever attended school (10+),% of population 10+,pct,5832735,2984206,51.16,4155
PDS 2020,Division,Balochistan,Kalat,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,529970,366607,69.18,1247
PDS 2020,Division,Balochistan,Mekran,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,357316,216590,60.62,565
PDS 2020,Division,Balochistan,Nasirabad,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,349598,252469,72.22,676
PDS 2020,Division,Balochistan,Quetta,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,913240,578152,63.31,1170
PDS 2020,Division,Balochistan,Rakhshan,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,91530,61955,67.69,181
PDS 2020,Division,Balochistan,Sibi,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,279380,192430,68.88,514
PDS 2020,Division,Balochistan,Zhob,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,337209,211218,62.64,708
PDS 2020,Division,Islamabad ICT,Islamabad,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,447073,312449,69.89,440
PDS 2020,Division,Khyber Pakhtunkhwa,Bannu,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,566402,359048,63.39,807
PDS 2020,Division,Khyber Pakhtunkhwa,Dera Ismail Khan,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,408574,282962,69.26,577
PDS 2020,Division,Khyber Pakhtunkhwa,Hazara,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,1351980,884598,65.43,2001
PDS 2020,Division,Khyber Pakhtunkhwa,Kohat,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,798286,528965,66.26,993
PDS 2020,Division,Khyber Pakhtunkhwa,Malakand,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,2048325,1456111,71.09,2348
PDS 2020,Division,Khyber Pakhtunkhwa,Mardan,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,1145419,780983,68.18,1116
PDS 2020,Division,Khyber Pakhtunkhwa,Peshawar,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,2473184,1642550,66.41,2828
PDS 2020,Division,Punjab,Bahawalpur,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,3174674,2213307,69.72,2841
PDS 2020,Division,Punjab,Dera Ghazi Khan,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,2619862,1861178,71.04,2445
