survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs,representative
PSLM 2019-20,District,Punjab,Lahore,Sheikhupura,Demographics,Population (extrapolated),persons,pct,3110321,3110321,100,13310,District-representative
PSLM 2019-20,District,Punjab,Multan,Khanewal,Demographics,Population (extrapolated),persons,pct,2828213,2828213,100,12243,District-representative
PSLM 2019-20,District,Punjab,Multan,Lodhran,Demographics,Population (extrapolated),persons,pct,1388454,1388454,100,6932,District-representative
PSLM 2019-20,District,Punjab,Multan,Multan,Demographics,Population (extrapolated),persons,pct,4001554,4001554,100,19094,District-representative
PSLM 2019-20,District,Punjab,Multan,Vehari,Demographics,Population (extrapolated),persons,pct,2781879,2781879,100,8864,District-representative
PSLM 2019-20,District,Punjab,Rawalpindi,Attock,Demographics,Population (extrapolated),persons,pct,1363579,1363579,100,8345,District-representative
PSLM 2019-20,District,Punjab,Rawalpindi,Chakwal,Demographics,Population (extrapolated),persons,pct,1205384,1205384,100,7133,District-representative
PSLM 2019-20,District,Punjab,Rawalpindi,Jhelum,Demographics,Population (extrapolated),persons,pct,992305,992305,100,6732,District-representative
PSLM 2019-20,District,Punjab,Rawalpindi,Rawalpindi,Demographics,Population (extrapolated),persons,pct,4826693,4826693,100,22543,District-representative
PSLM 2019-20,District,Punjab,Sahiwal,Okara,Demographics,Population (extrapolated),persons,pct,2603131,2603131,100,7927,District-representative
PSLM 2019-20,District,Punjab,Sahiwal,Pakpattan,Demographics,Population (extrapolated),persons,pct,1569715,1569715,100,8448,District-representative
PSLM 2019-20,District,Punjab,Sahiwal,Sahiwal,Demographics,Population (extrapolated),persons,pct,2143428,2143428,100,10308,District-representative
PSLM 2019-20,District,Punjab,Sargodha,Bhakkar,Demographics,Population (extrapolated),persons,pct,1412148,1412148,100,8482,District-representative
PSLM 2019-20,District,Punjab,Sargodha,Khushab,Demographics,Population (extrapolated),persons,pct,1052300,1052300,100,7237,District-representative
PSLM 2019-20,District,Punjab,Sargodha,Mianwali,Demographics,Population (extrapolated),persons,pct,1289940,1289940,100,6677,District-representative
PSLM 2019-20,District,Punjab,Sargodha,Sargodha,Demographics,Population (extrapolated),persons,pct,3307460,3307460,100,15734,District-representative
PSLM 2019-20,District,Sindh,Hyderabad,Badin,Demographics,Population (extrapolated),persons,pct,1705194,1705194,100,6251,District-representative
PSLM 2019-20,District,Sindh,Hyderabad,Dadu,Demographics,Population (extrapolated),persons,pct,1503502,1503502,100,4130,District-representative
PSLM 2019-20,District,Sindh,Hyderabad,Hyderabad,Demographics,Population (extrapolated),persons,pct,2053595,2053595,100,8966,District-representative
PSLM 2019-20,District,Sindh,Hyderabad,Jamshoro,Demographics,Population (extrapolated),persons,pct,480762,480762,100,3176,District-representative
PSLM 2019-20,District,Sindh,Hyderabad,Matiari,Demographics,Population (extrapolated),persons,pct,605619,605619,100,3138,District-representative
PSLM 2019-20,District,Sindh,Hyderabad,Sujawal,Demographics,Population (extrapolated),persons,pct,705381,705381,100,3824,District-representative
PSLM 2019-20,District,Sindh,Hyderabad,Tando Allahyar,Demographics,Population (extrapolated),persons,pct,617753,617753,100,3583,District-representative
PSLM 2019-20,District,Sindh,Hyderabad,Tando Muhammad Khan,Demographics,Population (extrapolated),persons,pct,588061,588061,100,3946,District-representative
