survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Labour Force,Employment-to-population ratio (10+),% of population 10+,pct,30314237,11026794,36.37,45498
LFS 2024-25,Province,Punjab,NA,NA,Labour Force,Employment-to-population ratio (10+),% of population 10+,pct,96616778,42779438,44.28,100108
LFS 2024-25,Province,Sindh,NA,NA,Labour Force,Employment-to-population ratio (10+),% of population 10+,pct,41430051,17003878,41.04,55611
LFS 2024-25,Province,Balochistan,NA,NA,Labour Force,Unemployment rate,% of labour force,pct,3870309,215606,5.57,11277
LFS 2024-25,Province,Islamabad ICT,NA,NA,Labour Force,Unemployment rate,% of labour force,pct,764269,97357,12.74,903
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Labour Force,Unemployment rate,% of labour force,pct,12197140,1170346,9.6,18436
LFS 2024-25,Province,Punjab,NA,NA,Labour Force,Unemployment rate,% of labour force,pct,46128313,3348875,7.26,49374
LFS 2024-25,Province,Sindh,NA,NA,Labour Force,Unemployment rate,% of labour force,pct,17941042,937163,5.22,24509
LFS 2024-25,Province,Balochistan,NA,NA,Labour Force,Youth unemployment rate (15-24),% of youth labour force,pct,867577,108202,12.47,2599
LFS 2024-25,Province,Islamabad ICT,NA,NA,Labour Force,Youth unemployment rate (15-24),% of youth labour force,pct,135895,33688,24.79,161
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Labour Force,Youth unemployment rate (15-24),% of youth labour force,pct,3018340,480452,15.92,4424
LFS 2024-25,Province,Punjab,NA,NA,Labour Force,Youth unemployment rate (15-24),% of youth labour force,pct,10919718,1482074,13.57,11877
LFS 2024-25,Province,Sindh,NA,NA,Labour Force,Youth unemployment rate (15-24),% of youth labour force,pct,4096574,468568,11.44,5688
LFS 2024-25,Province,Balochistan,NA,NA,Employment Structure,Employment in agriculture,% of employed,pct,3654703,1368648,37.45,10630
LFS 2024-25,Province,Islamabad ICT,NA,NA,Employment Structure,Employment in agriculture,% of employed,pct,666912,70578,10.58,787
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Employment Structure,Employment in agriculture,% of employed,pct,11026794,2839386,25.75,16689
LFS 2024-25,Province,Punjab,NA,NA,Employment Structure,Employment in agriculture,% of employed,pct,42779438,15541358,36.33,45882
LFS 2024-25,Province,Sindh,NA,NA,Employment Structure,Employment in agriculture,% of employed,pct,17003878,5534125,32.55,23261
LFS 2024-25,Province,Balochistan,NA,NA,Employment Structure,Employment in industry (mining/manufacturing/utilities/construction),% of employed,pct,3654703,627077,17.16,10630
LFS 2024-25,Province,Islamabad ICT,NA,NA,Employment Structure,Employment in industry (mining/manufacturing/utilities/construction),% of employed,pct,666912,136323,20.44,787
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Employment Structure,Employment in industry (mining/manufacturing/utilities/construction),% of employed,pct,11026794,3085801,27.98,16689
LFS 2024-25,Province,Punjab,NA,NA,Employment Structure,Employment in industry (mining/manufacturing/utilities/construction),% of employed,pct,42779438,10863935,25.4,45882
LFS 2024-25,Province,Sindh,NA,NA,Employment Structure,Employment in industry (mining/manufacturing/utilities/construction),% of employed,pct,17003878,4167610,24.51,23261
LFS 2024-25,Province,Balochistan,NA,NA,Employment Structure,Employment in services,% of employed,pct,3654703,1635050,44.74,10630
LFS 2024-25,Province,Islamabad ICT,NA,NA,Employment Structure,Employment in services,% of employed,pct,666912,440942,66.12,787
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Employment Structure,Employment in services,% of employed,pct,11026794,4890013,44.35,16689
LFS 2024-25,Province,Punjab,NA,NA,Employment Structure,Employment in services,% of employed,pct,42779438,15774619,36.87,45882
LFS 2024-25,Province,Sindh,NA,NA,Employment Structure,Employment in services,% of employed,pct,17003878,7095016,41.73,23261
LFS 2024-25,Province,Balochistan,NA,NA,Employment Structure,Paid employees,% of employed,pct,3654703,1624438,44.45,10630
LFS 2024-25,Province,Islamabad ICT,NA,NA,Employment Structure,Paid employees,% of employed,pct,666912,363553,54.51,787
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Employment Structure,Paid employees,% of employed,pct,11026794,5095370,46.21,16689
LFS 2024-25,Province,Punjab,NA,NA,Employment Structure,Paid employees,% of employed,pct,42779438,17982839,42.04,45882
LFS 2024-25,Province,Sindh,NA,NA,Employment Structure,Paid employees,% of employed,pct,17003878,8510532,50.05,23261
LFS 2024-25,Province,Balochistan,NA,NA,Employment Structure,Own-account (independent) workers,% of employed,pct,3654703,1351242,36.97,10630
LFS 2024-25,Province,Islamabad ICT,NA,NA,Employment Structure,Own-account (independent) workers,% of employed,pct,666912,205769,30.85,787
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Employment Structure,Own-account (independent) workers,% of employed,pct,11026794,4050675,36.73,16689
LFS 2024-25,Province,Punjab,NA,NA,Employment Structure,Own-account (independent) workers,% of employed,pct,42779438,15918319,37.21,45882
LFS 2024-25,Province,Sindh,NA,NA,Employment Structure,Own-account (independent) workers,% of employed,pct,17003878,5761040,33.88,23261
LFS 2024-25,Province,Balochistan,NA,NA,Employment Structure,Employers,% of employed,pct,3654703,53652,1.47,10630
LFS 2024-25,Province,Islamabad ICT,NA,NA,Employment Structure,Employers,% of employed,pct,666912,13618,2.04,787
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Employment Structure,Employers,% of employed,pct,11026794,129949,1.18,16689
LFS 2024-25,Province,Punjab,NA,NA,Employment Structure,Employers,% of employed,pct,42779438,590907,1.38,45882
LFS 2024-25,Province,Sindh,NA,NA,Employment Structure,Employers,% of employed,pct,17003878,244325,1.44,23261
LFS 2024-25,Province,Balochistan,NA,NA,Employment Structure,Contributing family workers / dependent contractors,% of employed,pct,3654703,601443,16.46,10630
LFS 2024-25,Province,Islamabad ICT,NA,NA,Employment Structure,Contributing family workers / dependent contractors,% of employed,pct,666912,64903,9.73,787
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Employment Structure,Contributing family workers / dependent contractors,% of employed,pct,11026794,1539206,13.96,16689
LFS 2024-25,Province,Punjab,NA,NA,Employment Structure,Contributing family workers / dependent contractors,% of employed,pct,42779438,7687848,17.97,45882
LFS 2024-25,Province,Sindh,NA,NA,Employment Structure,Contributing family workers / dependent contractors,% of employed,pct,17003878,2280853,13.41,23261
LFS 2024-25,Province,Balochistan,NA,NA,Working Conditions,"Time-related underemployment (<35 hrs, wants more work)",% of employed,pct,3654703,96798,2.65,10630
LFS 2024-25,Province,Islamabad ICT,NA,NA,Working Conditions,"Time-related underemployment (<35 hrs, wants more work)",% of employed,pct,666912,37425,5.61,787
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Working Conditions,"Time-related underemployment (<35 hrs, wants more work)",% of employed,pct,11026794,254331,2.31,16689
LFS 2024-25,Province,Punjab,NA,NA,Working Conditions,"Time-related underemployment (<35 hrs, wants more work)",% of employed,pct,42779438,1569224,3.67,45882
LFS 2024-25,Province,Sindh,NA,NA,Working Conditions,"Time-related underemployment (<35 hrs, wants more work)",% of employed,pct,17003878,608576,3.58,23261
LFS 2024-25,Province,Balochistan,NA,NA,Working Conditions,Average actual weekly working hours,hours/week,mean,3630775,NA,47.61,10545
LFS 2024-25,Province,Islamabad ICT,NA,NA,Working Conditions,Average actual weekly working hours,hours/week,mean,647843,NA,48.35,765
